,10Min,10Minp,30Min,30Minp,1H,1Hp,2H,2Hp,3H,3Hp,6H,6Hp,12H,12Hp,24H,24Hp
Volume,0.0072,0.17740966992029406,0.0089,0.3369995044001592,-0.0033,0.8008079996182168,0.0003,0.9883205087709881,-0.0015,0.9480840656208221,0.0015,0.9638749350113867,0.0103,0.8213893228714262,-0.0424,0.5133818149901187
tweet_vol,0.0042,0.43299688124553337,0.0026,0.7805096670283497,-0.001,0.9382993975714241,-0.0019,0.9193065276691135,-0.0004,0.9865461258309228,-0.001,0.9751235710526767,-0.0126,0.782253422976086,-0.0386,0.5513038492717527
sent_neg,-0.0017,0.7538332510583625,0.0109,0.24044066654668134,0.0235,0.07395588416650585,0.03,0.10715725205606376,0.0221,0.33287069945661096,0.0472,0.14321848783141766,0.0281,0.5392224420073286,0.0365,0.5738362502896779
sent_neu,0.0009,0.8729155148421791,0.0063,0.5005940901651178,-0.015,0.25387511676595453,-0.0398,0.03221667501147223,-0.0715,0.0016900413131935193,-0.0615,0.05653127526671569,-0.0533,0.24362057158971231,-0.0211,0.7450776023392964
sent_pos,0.0009,0.8644437649177381,-0.0182,0.050697164684378904,-0.004,0.7612711609381969,0.0209,0.26197255511980067,0.0651,0.004267394350952335,0.0236,0.46466744605384674,0.0433,0.34295496065743686,-0.0222,0.7324575258156384
sent_compound,0.0018,0.7373288350123264,-0.0186,0.045592507699611665,-0.0183,0.1643436517148393,-0.0087,0.6404973471640463,0.0227,0.319038040225905,-0.033,0.3064951350265348,-0.0184,0.6873893182538547,-0.0517,0.4251778003334457
count,-0.0018,0.7336428650675799,-0.0054,0.5627213862627868,-0.0034,0.7959547205338694,-0.0077,0.6780188322279193,-0.0104,0.6479325798066204,-0.0191,0.5547018248796428,-0.0437,0.3393051775142559,-0.0715,0.2700709831118148
count_neg,-0.0046,0.3904818817546639,-0.0078,0.40267524104070296,-0.0013,0.9231204945144251,0.0065,0.72583554354542,0.0009,0.9694184949012776,-0.0005,0.9879144303590618,-0.0023,0.9590306911435595,-0.0208,0.7491025239040213
count_neu,-0.0022,0.6885500199979194,-0.0011,0.9077868288740997,0.0014,0.9127749641563607,-0.0101,0.5874283170787096,-0.0089,0.695314109333713,-0.0138,0.6690058837922567,-0.0468,0.30524386757110306,-0.0691,0.28620058428988165
count_pos,0.0009,0.8678049274833746,-0.0075,0.419775640501883,-0.0093,0.4802511120410606,-0.0122,0.5136957562016488,-0.017,0.4561248564507378,-0.0331,0.3046067950506785,-0.0593,0.1943369126516871,-0.0983,0.1290362429377135
Close,-0.0282,1.4479071039846335e-07,-0.0005,0.953480859234998,-0.0331,0.011846137148868915,-0.0551,0.0030149942287948837,-0.0283,0.21508431451999432,-0.0663,0.039828129841467066,0.0816,0.07368961372327175,-0.0932,0.15008607160074772
High,-0.0148,0.005902809843277026,-0.0265,0.004423808281840215,-0.0365,0.005494667648661366,-0.0492,0.008085279194025321,-0.0577,0.011368329547886568,-0.0813,0.011577421355016137,-0.1278,0.004984894431771372,-0.1324,0.04044465982463418
Low,-0.015,0.005316257127969601,-0.0276,0.0029626006760156334,-0.0372,0.004718008331536023,-0.0506,0.006484433372535966,-0.0589,0.009688977663415576,-0.0859,0.007681954866891594,-0.1342,0.003183134801613142,-0.1368,0.03412857704147298
Close_v,-0.0154,0.004019958871672201,-0.0271,0.003558994556100296,-0.0379,0.003986133430771304,-0.0522,0.0050272780143118725,-0.0595,0.009019801776493447,-0.0872,0.006751785128660326,-0.1236,0.006647516333096888,-0.1523,0.01820169602692768
Close_td_next,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Close_next,0.0075,0.16330127367400726,0.0125,0.1798733198704536,0.0182,0.1672822492372656,0.026,0.16220714801110891,0.0331,0.1460156845052197,0.0432,0.18088279496207843,0.0471,0.30261298333180187,0.0997,0.12347496403192001
